corpus,filename,source_url,download_date,page_count
jfk,104-10014-10051.pdf,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10014-10051.pdf,2026-03-27,0
jfk,104-10014-10064.pdf,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10014-10064.pdf,2026-03-27,0
jfk,104-10014-10065.pdf,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10014-10065.pdf,2026-03-27,0
jfk,104-10014-10066.pdf,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10014-10066.pdf,2026-03-27,0
jfk,104-10014-10067.pdf,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10014-10067.pdf,2026-03-27,0
jfk,104-10016-10021.pdf,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10016-10021.pdf,2026-03-27,0
jfk,104-10023-10087.pdf,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10023-10087.pdf,2026-03-27,0
jfk,104-10048-10124.pdf,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10048-10124.pdf,2026-03-27,0
jfk,104-10048-10252.pdf,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10048-10252.pdf,2026-03-27,0
jfk,104-10049-10004.pdf,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10049-10004.pdf,2026-03-27,0
jfk,104-10049-10362.pdf,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10049-10362.pdf,2026-03-27,0
jfk,104-10049-10375.pdf,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10049-10375.pdf,2026-03-27,0
jfk,104-10051-10106.pdf,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10051-10106.pdf,2026-03-27,0
jfk,104-10051-10170.pdf,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10051-10170.pdf,2026-03-27,0
jfk,104-10052-10130.pdf,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10052-10130.pdf,2026-03-27,0
jfk,104-10055-10058.pdf,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10055-10058.pdf,2026-03-27,0
jfk,104-10056-10005.pdf,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10056-10005.pdf,2026-03-27,0
jfk,104-10057-10096.pdf,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10057-10096.pdf,2026-03-27,0
jfk,104-10057-10117.pdf,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10057-10117.pdf,2026-03-27,0
jfk,104-10059-10026.pdf,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10059-10026.pdf,2026-03-27,0
jfk,104-10059-10057.pdf,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10059-10057.pdf,2026-03-27,0
jfk,104-10059-10099.pdf,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10059-10099.pdf,2026-03-27,0
jfk,104-10059-10188.pdf,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10059-10188.pdf,2026-03-27,0
jfk,104-10059-10218.pdf,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10059-10218.pdf,2026-03-27,0
jfk,104-10061-10053.pdf,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10061-10053.pdf,2026-03-27,0
jfk,104-10061-10115.pdf,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10061-10115.pdf,2026-03-27,0
jfk,104-10061-10132.pdf,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10061-10132.pdf,2026-03-27,0
jfk,104-10061-10181.pdf,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10061-10181.pdf,2026-03-27,0
jfk,104-10061-10207.pdf,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10061-10207.pdf,2026-03-27,0
jfk,104-10061-10208.pdf,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10061-10208.pdf,2026-03-27,0
jfk,104-10061-10214.pdf,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10061-10214.pdf,2026-03-27,0
jfk,104-10061-10265.pdf,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10061-10265.pdf,2026-03-27,0
jfk,104-10061-10292.pdf,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10061-10292.pdf,2026-03-27,0
jfk,104-10061-10320.pdf,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10061-10320.pdf,2026-03-27,0
jfk,104-10061-10386.pdf,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10061-10386.pdf,2026-03-27,0
jfk,104-10062-10005.pdf,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10062-10005.pdf,2026-03-27,0
